IP Range,Country,Region,City,Postal Code
52.105.141.0/24,NL,,AMSTERDAM,
52.105.144.0/24,NL,,AMSTERDAM,
52.105.146.0/24,NL,,AMSTERDAM,
52.105.153.0/24,NL,,AMSTERDAM,
52.105.154.0/23,NL,,AMSTERDAM,
52.105.158.0/24,NL,,AMSTERDAM,
52.108.24.0/21,NL,,AMSTERDAM,
52.108.56.0/21,NL,,AMSTERDAM,
52.108.80.0/24,NL,,AMSTERDAM,
52.108.108.0/23,NL,,AMSTERDAM,
52.108.110.0/24,NL,,AMSTERDAM,
52.109.88.0/22,NL,,AMSTERDAM,
52.111.243.0/24,NL,,AMSTERDAM,
52.112.14.0/23,NL,,AMSTERDAM,
52.112.17.0/24,NL,,AMSTERDAM,
52.112.18.0/23,NL,,AMSTERDAM,
52.112.71.0/24,NL,,AMSTERDAM,
52.112.83.0/24,NL,,AMSTERDAM,
52.112.97.0/24,NL,,AMSTERDAM,
52.112.98.0/23,NL,,AMSTERDAM,
52.112.110.0/23,NL,,AMSTERDAM,
52.112.128.0/25,NL,,AMSTERDAM,
52.112.130.0/25,NL,,AMSTERDAM,
52.112.131.0/25,NL,,AMSTERDAM,
52.112.132.128/25,NL,,AMSTERDAM,
52.112.133.0/24,NL,,AMSTERDAM,
52.112.135.0/25,NL,,AMSTERDAM,
52.112.136.128/25,NL,,AMSTERDAM,
52.112.144.0/20,NL,,AMSTERDAM,
52.112.161.0/24,NL,,AMSTERDAM,
52.112.163.0/25,NL,,AMSTERDAM,
52.112.192.0/26,NL,,AMSTERDAM,
52.112.193.0/26,NL,,AMSTERDAM,
52.112.193.128/26,NL,,AMSTERDAM,
52.112.194.64/26,NL,,AMSTERDAM,
52.112.194.128/25,NL,,AMSTERDAM,
52.112.195.64/27,NL,,AMSTERDAM,
52.112.195.96/28,NL,,AMSTERDAM,
52.112.195.128/27,NL,,AMSTERDAM,
52.112.197.0/24,NL,,AMSTERDAM,
52.112.208.128/25,NL,,AMSTERDAM,
52.112.209.128/26,NL,,AMSTERDAM,
52.112.216.0/21,NL,,AMSTERDAM,
52.112.228.128/25,NL,,AMSTERDAM,
52.112.233.0/24,NL,,AMSTERDAM,
52.112.237.0/24,NL,,AMSTERDAM,
52.112.238.0/24,NL,,AMSTERDAM,
52.113.9.0/24,NL,,AMSTERDAM,
52.113.37.0/24,NL,,AMSTERDAM,
52.113.83.0/24,NL,,AMSTERDAM,
52.113.130.0/24,NL,,AMSTERDAM,
52.113.144.0/21,NL,,AMSTERDAM,
52.113.199.0/24,NL,,AMSTERDAM,
52.114.64.0/21,NL,,AMSTERDAM,
52.114.72.0/22,NL,,AMSTERDAM,
52.114.116.0/22,NL,,AMSTERDAM,
52.114.241.0/24,NL,,AMSTERDAM,
